horizon_hour,week,weekday,hour,wind_ab_mw,wind_ka_mw
745,5,3,1,3.5,1.27095
746,5,3,2,3.5,1.42635
747,5,3,3,3.5,1.2321
748,5,3,4,3.5,1.855922
749,5,3,5,3.5,1.32345
750,5,3,6,3.5,1.19535
751,5,3,7,3.5,1.42845
752,5,3,8,3.5,2.44521
753,5,3,9,3.5,2.957742
754,5,3,10,3.5,3.184296
755,5,3,11,3.5,3.39847
756,5,3,12,3.5,3.139728
757,5,3,13,3.5,3.054306
758,5,3,14,3.5,2.919364
759,5,3,15,3.5,2.836418
760,5,3,16,3.5,2.499682
761,5,3,17,3.5,2.378358
762,5,3,18,3.5,1.688792
763,5,3,19,3.5,1.2636
764,5,3,20,3.5,1.31085
765,5,3,21,3.5,1.3329
766,5,3,22,3.5,1.45995
767,5,3,23,3.5,1.34655
768,5,4,0,3.5,1.34655
769,5,4,1,3.5,1.3707
770,5,4,2,3.5,1.33185
771,5,4,3,3.5,1.07985
772,5,4,4,3.5,1.14915
773,5,4,5,3.5,1.04835
774,5,4,6,3.5,1.0977
775,5,4,7,3.5,1.3875
776,5,4,8,3.5,2.196372
777,5,4,9,3.5,2.72995
778,5,4,10,3.5,3.164488
779,5,4,11,3.5,3.32419
780,5,4,12,3.5,3.374948
781,5,4,13,3.5,2.879748
782,5,4,14,3.5,2.772042
783,5,4,15,3.5,2.56901
784,5,4,16,3.5,2.325124
785,5,4,17,3.5,1.977246
786,5,4,18,3.5,1.2993
787,5,4,19,3.5,1.3917
788,5,4,20,3.5,1.26255
789,5,4,21,3.5,1.09035
790,5,4,22,3.5,0.81588
791,5,4,23,3.5,1.0326
792,5,5,0,3.5,0.772928
793,5,5,1,3.5,0.638248
794,5,5,2,3.5,0.573456
795,5,5,3,3.5,0.529048
796,5,5,4,3.5,0.708136
797,5,5,5,3.5,0.834808
798,5,5,6,3.5,1.0179
799,5,5,7,3.5,1.2993
800,5,5,8,3.5,1.774214
801,5,5,9,3.5,2.182754
802,5,5,10,3.5,2.404356
803,5,5,11,3.5,2.673002
804,5,5,12,3.5,2.77328
805,5,5,13,3.5,2.975074
806,5,5,14,3.5,2.918126
807,5,5,15,3.5,2.869844
808,5,5,16,3.5,2.796802
809,5,5,17,3.5,2.169136
810,5,5,18,3.5,1.701172
811,5,5,19,3.5,1.05675
812,5,5,20,3.5,0.85228
813,5,5,21,3.5,0.763464
814,5,5,22,3.5,0.84864
815,5,5,23,3.5,0.842816
816,5,6,0,3.5,0.815152
