horizon_hour,week,weekday,hour,demand
666,4,6,18,15.48
667,4,6,19,15.5025
668,4,6,20,16.2
669,4,6,21,17.73
670,4,6,22,17.64
671,4,6,23,16.4475
672,5,0,0,14.1075
673,5,0,1,13.23
674,5,0,2,12.465
675,5,0,3,11.79
676,5,0,4,11.835
677,5,0,5,11.835
678,5,0,6,12.34125
679,5,0,7,14.22
680,5,0,8,15.17625
681,5,0,9,16.41375
682,5,0,10,17.4375
683,5,0,11,18.7425
684,5,0,12,19.22625
685,5,0,13,18.855
686,5,0,14,19.04625
687,5,0,15,18.9225
688,5,0,16,18.6525
689,5,0,17,18.19125
690,5,0,18,18.0
691,5,0,19,17.64
692,5,0,20,17.55
693,5,0,21,18.315
694,5,0,22,19.29375
695,5,0,23,17.9775
696,5,1,0,15.525
697,5,1,1,14.265
698,5,1,2,12.96
699,5,1,3,12.8025
700,5,1,4,11.9025
701,5,1,5,11.97
702,5,1,6,12.40875
703,5,1,7,13.9725
704,5,1,8,16.0425
705,5,1,9,17.42625
706,5,1,10,18.10125
707,5,1,11,18.95625
708,5,1,12,19.29375
709,5,1,13,19.20375
710,5,1,14,18.945
711,5,1,15,19.35
712,5,1,16,19.1025
713,5,1,17,18.43875
714,5,1,18,18.45
715,5,1,19,17.65125
716,5,1,20,18.6075
717,5,1,21,19.8
718,5,1,22,19.035
719,5,1,23,17.55
720,5,2,0,15.6375
721,5,2,1,13.8375
722,5,2,2,13.005
723,5,2,3,12.555
724,5,2,4,12.24
725,5,2,5,12.2625
726,5,2,6,13.48875
727,5,2,7,14.5575
728,5,2,8,15.5025
729,5,2,9,17.53875
730,5,2,10,18.9225
731,5,2,11,20.26125
732,5,2,12,20.205
733,5,2,13,20.64375
734,5,2,14,20.50875
735,5,2,15,20.66625
736,5,2,16,19.71
737,5,2,17,19.3275
738,5,2,18,18.4275
739,5,2,19,17.955
740,5,2,20,17.955
741,5,2,21,19.3725
742,5,2,22,19.035
743,5,2,23,17.64
744,5,3,0,15.12
745,5,3,1,13.59
746,5,3,2,13.005
747,5,3,3,12.6
748,5,3,4,12.7125
749,5,3,5,12.645
750,5,3,6,13.05
751,5,3,7,14.09625
752,5,3,8,16.57125
753,5,3,9,17.6175
754,5,3,10,18.10125
755,5,3,11,18.52875
756,5,3,12,18.99
757,5,3,13,19.3725
758,5,3,14,19.27125
759,5,3,15,19.1475
760,5,3,16,18.72
761,5,3,17,18.855
762,5,3,18,18.4275
763,5,3,19,18.09
764,5,3,20,18.54
765,5,3,21,18.9
766,5,3,22,18.945
767,5,3,23,17.55
768,5,4,0,15.9525
769,5,4,1,14.31
770,5,4,2,13.5675
771,5,4,3,13.005
772,5,4,4,12.6
773,5,4,5,12.105
774,5,4,6,13.05
775,5,4,7,14.085
776,5,4,8,15.98625
777,5,4,9,17.595
778,5,4,10,18.9675
779,5,4,11,20.1825
780,5,4,12,20.745
781,5,4,13,20.475
782,5,4,14,19.44
783,5,4,15,18.81
784,5,4,16,18.39375
785,5,4,17,18.315
786,5,4,18,18.405
787,5,4,19,16.75125
788,5,4,20,17.56125
789,5,4,21,18.7425
790,5,4,22,18.72
791,5,4,23,17.92125
792,5,5,0,15.7725
793,5,5,1,14.07375
794,5,5,2,13.4775
795,5,5,3,12.9375
796,5,5,4,12.69
797,5,5,5,12.375
798,5,5,6,11.7225
799,5,5,7,11.88
800,5,5,8,13.33125
801,5,5,9,14.985
802,5,5,10,16.65
803,5,5,11,17.67375
804,5,5,12,17.9325
805,5,5,13,18.0
806,5,5,14,17.89875
807,5,5,15,17.19
808,5,5,16,16.695
809,5,5,17,15.9975
810,5,5,18,16.1325
811,5,5,19,16.1325
812,5,5,20,16.54875
813,5,5,21,17.505
814,5,5,22,17.865
815,5,5,23,16.38
816,5,6,0,14.6475
817,5,6,1,13.5675
818,5,6,2,12.3075
819,5,6,3,11.50875
820,5,6,4,11.07
821,5,6,5,11.01375
822,5,6,6,11.0025
823,5,6,7,10.99125
824,5,6,8,11.9925
825,5,6,9,13.24125
826,5,6,10,13.8825
827,5,6,11,14.8725
828,5,6,12,15.9525
829,5,6,13,16.5825
830,5,6,14,16.5825
831,5,6,15,16.2675
832,5,6,16,15.795
833,5,6,17,15.9075
834,5,6,18,15.69375
835,5,6,19,15.39
836,5,6,20,15.71625
837,5,6,21,18.0
838,5,6,22,18.30375
839,5,6,23,16.77375
840,6,0,0,14.7375
841,6,0,1,13.095
842,6,0,2,11.925
843,6,0,3,11.2725
844,6,0,4,11.19375
845,6,0,5,11.2275
846,6,0,6,12.3975
847,6,0,7,13.455
848,6,0,8,15.66
849,6,0,9,17.3475
850,6,0,10,18.6975
851,6,0,11,19.305
852,6,0,12,19.7325
853,6,0,13,19.9125
854,6,0,14,19.35
855,6,0,15,19.1925
856,6,0,16,19.08
857,6,0,17,18.7875
858,6,0,18,18.1125
859,6,0,19,17.6625
860,6,0,20,17.83125
861,6,0,21,18.7425
862,6,0,22,18.81
863,6,0,23,17.0325
864,6,1,0,14.805
865,6,1,1,13.7025
866,6,1,2,13.0275
867,6,1,3,12.825
868,6,1,4,12.87
869,6,1,5,12.87
870,6,1,6,13.4325
871,6,1,7,14.18625
872,6,1,8,16.36875
873,6,1,9,17.91
874,6,1,10,18.52875
875,6,1,11,19.3725
876,6,1,12,19.53
877,6,1,13,19.845
878,6,1,14,19.71
879,6,1,15,19.60875
880,6,1,16,19.5075
881,6,1,17,19.1025
882,6,1,18,18.48375
883,6,1,19,18.18
884,6,1,20,19.53
885,6,1,21,20.44125
886,6,1,22,19.27125
887,6,1,23,17.235
888,6,2,0,15.4125
889,6,2,1,13.905
890,6,2,2,13.10625
891,6,2,3,12.38625
892,6,2,4,12.555
893,6,2,5,12.52125
894,6,2,6,13.41
895,6,2,7,14.49
896,6,2,8,16.875
897,6,2,9,18.39375
898,6,2,10,19.17
899,6,2,11,19.44
900,6,2,12,20.25
901,6,2,13,20.115
902,6,2,14,19.575
903,6,2,15,19.485
904,6,2,16,19.125
905,6,2,17,18.7875
906,6,2,18,18.36
907,6,2,19,17.7525
908,6,2,20,18.9
909,6,2,21,19.5525
910,6,2,22,18.855
911,6,2,23,17.325
912,6,3,0,15.2775
913,6,3,1,13.8825
914,6,3,2,13.28625
915,6,3,3,12.69
916,6,3,4,12.105
917,6,3,5,12.6
918,6,3,6,13.2525
919,6,3,7,14.3325
920,6,3,8,16.65
921,6,3,9,17.685
922,6,3,10,18.9225
923,6,3,11,19.17
924,6,3,12,19.305
925,6,3,13,19.0575
926,6,3,14,18.7425
927,6,3,15,18.7875
928,6,3,16,18.6075
929,6,3,17,18.27
930,6,3,18,18.0675
931,6,3,19,17.9325
932,6,3,20,17.9775
933,6,3,21,19.29375
934,6,3,22,18.63
935,6,3,23,17.2575
936,6,4,0,14.715
937,6,4,1,14.18625
938,6,4,2,13.71375
939,6,4,3,12.61125
940,6,4,4,12.3525
941,6,4,5,12.8925
942,6,4,6,13.59
943,6,4,7,14.4
944,6,4,8,16.785
945,6,4,9,17.9325
946,6,4,10,18.3825
947,6,4,11,18.9
948,6,4,12,19.04625
949,6,4,13,19.4625
950,6,4,14,18.9
951,6,4,15,18.9225
952,6,4,16,18.72
953,6,4,17,18.55125
954,6,4,18,18.315
955,6,4,19,17.6175
956,6,4,20,18.135
957,6,4,21,18.5175
958,6,4,22,17.7975
959,6,4,23,16.5825
960,6,5,0,15.01875
961,6,5,1,13.905
962,6,5,2,12.9825
963,6,5,3,12.195
964,6,5,4,11.565
965,6,5,5,11.95875
966,6,5,6,12.1275
967,6,5,7,12.24
968,6,5,8,13.3875
969,6,5,9,14.9175
970,6,5,10,15.8625
971,6,5,11,16.5825
972,6,5,12,17.2575
973,6,5,13,17.4825
974,6,5,14,17.055
975,6,5,15,17.1225
976,6,5,16,16.785
977,6,5,17,16.695
978,6,5,18,16.335
979,6,5,19,16.36875
980,6,5,20,16.5825
981,6,5,21,18.0225
982,6,5,22,17.3025
983,6,5,23,16.065
984,6,6,0,14.5125
985,6,6,1,13.455
986,6,6,2,12.69
987,6,6,3,11.25
988,6,6,4,11.0025
989,6,6,5,10.845
